Model,Method,w1,w2,K,N,MAP,MRR,CTR,missing_bridges,missing_cf,not_enough_bridges,not_enough_cf,GDPS,GAPS,APS,COV
reranker,frequencyScore,0.7,0.30000000000000004,100,10,0.007726902552341875,0.014917342306776219,0.04290628515642186,4106,0,41232,0,0.10740468765825895,0.12289489441390754,0.10407879630269583,0.39658713856849426
reranker,frequencyScore,0.7,0.30000000000000004,20,20,0.0036626793098735572,0.010833468961723275,0.037102111869717035,4106,0,8996,0,0.07450075839955715,0.09291449008115381,0.073349524825174,0.47811660609890977
bridges,frequencyScoreNormalizedLog2,0,0,50,1,0.23834026069131425,0.15971478892331914,0.15971478892331914,0,0,0,0,0.4778486102128506,0.43297722732258126,0.4693538847865859,0.1763311739611313
bridges,frequencyScore,0,0,20,3,0.1456489779922259,0.2152210308862864,0.28791116323624805,0,0,0,0,0.4196190614033144,0.4497385410476129,0.41694146557207834,0.2896192131458366
reranker,frequencyScore,0.5,0.5,100,3,0.013469748843438923,0.015281499281073167,0.023458564392423706,4106,0,41232,0,0.12500637934155295,0.13018882165638673,0.1224583722344058,0.29341128140306527
reranker,frequencyScoreNormalizedLog2,0.9,0.09999999999999998,20,5,0.0061440294339032255,0.007123414307590752,0.015770626751700784,4106,0,8996,0,0.0854376975382497,0.09744714862769935,0.08250340732756893,0.3496602938852899
bridges,frequencyScoreNormalizedLog2,0,0,50,10,0.06768265185784099,0.2427741234083109,0.4412015736614539,0,0,0,0,0.26797889477749737,0.3081005148042338,0.2684115998196428,0.3976931584768526
reranker,frequencyScore,0.5,0.5,20,1,0.010724151508308436,0.005989474089520903,0.005989474089520903,4106,0,8996,0,0.1250783425936886,0.123155615834693,0.12621768595747537,0.2303681466266393
bridges,frequencyScore,0,0,50,1,0.23834026069131425,0.15971478892331914,0.15971478892331914,0,0,0,0,0.4778486102128506,0.43297722732258126,0.4693538847865859,0.1763311739611313
reranker,frequencyScore,0.5,0.5,20,10,0.055364959753543386,0.05669942467141436,0.3050173371513571,4106,0,8996,0,0.20947559004700772,0.23391659003886944,0.20472770668193085,0.4127034286617159
bridges,frequencyScore,0,0,50,10,0.06768265185784099,0.2427741234083109,0.4412015736614539,0,0,0,0,0.26797889477749737,0.3081005148042338,0.2684115998196428,0.3976931584768526
reranker,frequencyScore,0.9,0.09999999999999998,20,10,0.005166904349535714,0.008475307365998155,0.026342134648160195,4106,0,8996,0,0.08279377294030651,0.09949736558271585,0.07981436955387873,0.4134934428819719
reranker,frequencyScore,0.5,0.5,50,20,0.025929744781082707,0.03530175282560848,0.27885704544357576,4106,0,22137,0,0.14337477401148446,0.16219682894130927,0.1409237489242098,0.45662821930794756
reranker,frequencyScore,0.7,0.30000000000000004,100,3,0.010155718670357585,0.010681092714838776,0.0167829032683819,4106,0,41232,0,0.1092608345583234,0.11845488773190753,0.1058626046156632,0.29862537525675464
bridges,frequencyScoreNormalizedLog2,0,0,50,3,0.1456489779922259,0.2152210308862864,0.28791116323624805,0,0,0,0,0.4196190614033144,0.4497385410476129,0.41694146557207834,0.2896192131458366
bridges,frequencyScore,0,0,20,5,0.11210931820645197,0.23249330082681155,0.36333585702896093,0,0,0,0,0.359877790093828,0.4083207747265016,0.35495612084045397,0.34318217727919104
reranker,frequencyScore,0.5,0.5,100,5,0.011925157551366309,0.017813704396602622,0.034657292319166366,4106,0,41232,0,0.12404809741014652,0.1339626771953982,0.12069839636273476,0.3329119924158635
reranker,frequencyScoreNormalizedLog2,0.7,0.30000000000000004,20,1,0.006427269722791231,0.0034532444082367173,0.0034532444082367173,4106,0,8996,0,0.09054179500681181,0.09352953507282019,0.0889996758204635,0.22594406699320588
reranker,frequencyScoreNormalizedLog2,0.3,0.7,100,1,0.06739291826040168,0.045787933320903106,0.045787933320903106,4106,0,41232,0,0.30109703802234694,0.29526345783530533,0.2976810481417026,0.1385684942328962
reranker,frequencyScore,0.9,0.09999999999999998,50,1,0.006688356934672814,0.0035563287349924056,0.0035563287349924056,4106,0,22137,0,0.09167835008452102,0.09537285397718127,0.08909790354890959,0.22262600726813084
reranker,frequencyScoreNormalizedLog2,0.1,0.9,50,1,0.21069423036185317,0.1442875378559538,0.1442875378559538,4106,0,22137,0,0.475448256650243,0.43799219815533247,0.4634722602861818,0.11107599936798862
reranker,frequencyScoreNormalizedLog2,0.7,0.30000000000000004,20,10,0.005650763160702963,0.010453474920471929,0.028846952775261475,4106,0,8996,0,0.08714274154209077,0.10492722640118109,0.08418715385285228,0.41854953389161004
reranker,frequencyScore,0.9,0.09999999999999998,50,10,0.005396798947498542,0.009398254259549566,0.028135356151483378,4106,0,22137,0,0.08790754567420217,0.10269443592853322,0.08483936992599299,0.41207141728551117
reranker,frequencyScoreNormalizedLog2,0.1,0.9,50,10,0.06665144695104644,0.22632381875370877,0.4323162760319053,4106,0,22137,0,0.2658592470155689,0.3098574089961499,0.2645006948988558,0.26481276662979936
reranker,frequencyScore,0.5,0.5,20,3,0.020003390045845056,0.016141823504898033,0.03144600556491147,4106,0,8996,0,0.13840584032185754,0.14739883957365774,0.13737759367186428,0.3205877705798704
bridges,frequencyScore,0,0,50,3,0.1456489779922259,0.2152210308862864,0.28791116323624805,0,0,0,0,0.4196190614033144,0.4497385410476129,0.41694146557207834,0.2896192131458366
reranker,frequencyScore,0.9,0.09999999999999998,20,3,0.006245551484523865,0.005707445619168897,0.009649426789799959,4106,0,8996,0,0.08691462868441784,0.09342283505249399,0.08470798063290429,0.3057355032390583
reranker,frequencyScoreNormalizedLog2,0.9,0.09999999999999998,50,5,0.006585706619680366,0.008255516177717756,0.017079209700161333,4106,0,22137,0,0.08785145353832494,0.10116015333197563,0.08414155427533382,0.34934428819718755
