Model,Method,w1,w2,K,N,MAP,MRR,CTR,missing_bridges,missing_cf,not_enough_bridges,not_enough_cf,GDPS,GAPS,APS,COV
reranker,frequencyScore,0.3,0.7,20,3,0.08459984130615503,0.11350745423479836,0.17456721074841228,0,0,5174,0,0.39671920241781494,0.4168146495438045,0.391744803821946,0.3281719070943277
reranker,frequencyScoreNormalizedLog2,0.9,0.09999999999999998,100,3,0.007284869640206578,0.007356508609161941,0.01159947134973177,0,0,14093,0,0.10508923224290365,0.11337979411653624,0.10200010742739929,0.30447148048664874
reranker,frequencyScore,0.1,0.9,50,5,0.05544445808819467,0.10942995995628936,0.17612978334469942,0,0,8748,0,0.29537046311778864,0.3118072024496826,0.29198133882243554,0.3482382682888292
reranker,frequencyScore,0.5,0.5,100,20,0.007083336211007346,0.01993119376478768,0.07882995049228782,0,0,14093,0,0.11819532374038537,0.1407902563319346,0.11691638457903375,0.4599462790330226
reranker,frequencyScore,0.5,0.5,50,1,0.011585092256577383,0.00661385803004685,0.00661385803004685,0,0,8748,0,0.14384078421018381,0.13959232722187764,0.1424913548894019,0.23637225470058462
reranker,frequencyScoreNormalizedLog2,0.1,0.9,20,3,0.10956413155325086,0.15755770355820808,0.22177546626244188,0,0,5174,0,0.4307939694083681,0.4523335166032749,0.4244328664212401,0.3052614947069047
reranker,frequencyScoreNormalizedLog2,0.1,0.9,100,20,0.03593560702521861,0.17513138669141587,0.46835654884284217,0,0,14093,0,0.24928334750633663,0.26640159666266816,0.25103001039496897,0.36546057829040923
bridges,frequencyScoreNormalizedLog2,0,0,20,20,0.03768544338130501,0.20750298265360342,0.496965,0,0,0,0,0.25960999526566486,0.2719580704272762,0.26405318406335493,0.5419497550955917
reranker,frequencyScore,0.5,0.5,50,10,0.011687031461060544,0.018029364932047095,0.059033424396621646,0,0,8748,0,0.1440667186464948,0.16397487695518964,0.14283059412023358,0.41475746563438143
reranker,frequencyScore,0.7,0.30000000000000004,20,3,0.007686429831473588,0.0069621890327216,0.012111665758635178,0,0,5174,0,0.11556969297582324,0.12238060094785701,0.11304054731942863,0.30952757149628696
reranker,frequencyScoreNormalizedLog2,0.3,0.7,100,10,0.026349020641195233,0.0562252100599308,0.16769938746758062,0,0,14093,0,0.21997405198876568,0.23769585902973256,0.21839839093611224,0.35092431663769946
reranker,frequencyScoreNormalizedLog2,0.3,0.7,20,20,0.03764535756625484,0.15571492306269305,0.49653507246493356,0,0,5174,0,0.2595798971193279,0.272310037900105,0.26358572923850265,0.490598830778954
reranker,frequencyScoreNormalizedLog2,0.9,0.09999999999999998,50,20,0.00438360303859889,0.010365816753245499,0.045487928397622404,0,0,8748,0,0.0871390784512698,0.10601088406292494,0.08615294872373418,0.4754305577500395
reranker,frequencyScore,0.3,0.7,20,5,0.07474549715090482,0.1308436014604505,0.25071117964347533,0,0,5174,0,0.3695090015189928,0.40243585896540635,0.3619980429314659,0.3569284247116448
reranker,frequencyScoreNormalizedLog2,0.9,0.09999999999999998,100,5,0.006591197779082035,0.008681025018924485,0.017451950336086465,0,0,14093,0,0.10207167521573594,0.1139754370172481,0.09919900816271968,0.3483962711328804
reranker,frequencyScore,0.1,0.9,100,20,0.021491917166284107,0.09707532747017132,0.2632246246349808,0,0,14093,0,0.1777144254652242,0.20031939571219345,0.17640719942413063,0.3815768683836309
reranker,frequencyScore,0.5,0.5,50,3,0.011497041276419172,0.011956260029404519,0.019386593923644037,0,0,8748,0,0.1604331660702411,0.16056469907243212,0.1587669168711305,0.32453784168115024
reranker,frequencyScoreNormalizedLog2,0.1,0.9,20,5,0.08741234539138522,0.17311766077694227,0.2899763375705902,0,0,5174,0,0.3883254885878759,0.4203095071624198,0.37993068400238506,0.34729025122452206
reranker,frequencyScoreNormalizedLog2,0.3,0.7,100,3,0.03116280200177751,0.03924558807270822,0.06143885782330382,0,0,14093,0,0.25698939972179524,0.266912402095452,0.2550599298623639,0.29925738663295937
cf,not_used,1,0,20,1,0.00527182102700823,0.002772,0.002772,0,0,0,0,0.08205669753018471,0.08454335931805088,0.08020331454574459,0.22404803286459157
reranker,frequencyScore,0.9,0.09999999999999998,100,1,0.007595655372568088,0.004080506579220961,0.004080506579220961,0,0,14093,0,0.10101255331291895,0.10471578449355476,0.09818232853445968,0.2231000158002844
reranker,frequencyScoreNormalizedLog2,0.5,0.5,20,1,0.011407686275768904,0.006576024349986832,0.006576024349986832,0,0,5174,0,0.14534607666445043,0.1432248549931875,0.1422302782001831,0.26007268130826355
reranker,frequencyScore,0.9,0.09999999999999998,100,10,0.005287452388933688,0.009798904291514022,0.02785353993835118,0,0,14093,0,0.09442270826653,0.11040932718890528,0.09212042483260728,0.4104913888449992
reranker,frequencyScoreNormalizedLog2,0.5,0.5,20,10,0.04954644508889238,0.05358254122691241,0.2763136468085876,0,0,5174,0,0.25168179619564424,0.2761728150849146,0.24724409663092758,0.4462000316005688
reranker,frequencyScore,0.9,0.09999999999999998,20,20,0.0035661259854575813,0.008947986642729737,0.036218393970402864,0,0,5174,0,0.07450129237683903,0.0929168534358312,0.07334920544483929,0.4784326117870122
reranker,frequencyScoreNormalizedLog2,0.7,0.30000000000000004,100,20,0.006265412092492234,0.016987467445053858,0.06978244398305317,0,0,14093,0,0.11555129925681659,0.13538826794754508,0.11449399665692382,0.4596302733449202
cf,not_used,1,0,50,20,0.0035786484293478214,0.008215925867041878,0.036334,0,0,0,0,0.07450576972458306,0.09291952202224733,0.07335226132120151,0.4784326117870122
reranker,frequencyScoreNormalizedLog2,0.3,0.7,50,20,0.03314889094682839,0.09547614267665185,0.4293983770020136,0,0,8748,0,0.23585492166555094,0.25846942520635313,0.23633895302309074,0.4036972665507979
reranker,frequencyScore,0.5,0.5,50,5,0.01081382960716967,0.014384603175246055,0.030148741187911852,0,0,8748,0,0.15996504154263377,0.16752024365737786,0.1581029513886635,0.3599304787486175
reranker,frequencyScoreNormalizedLog2,0.3,0.7,100,5,0.02923142056874087,0.04670896950726481,0.09452007136575762,0,0,14093,0,0.2433868247443983,0.2584229782153947,0.24183014123754093,0.3188497392953073
reranker,frequencyScore,0.9,0.09999999999999998,100,3,0.007049107054718851,0.007084339597953665,0.011213025163631053,0,0,14093,0,0.10173263005467932,0.10954299592395035,0.09890590986066752,0.3033654605782904
reranker,frequencyScoreNormalizedLog2,0.5,0.5,20,3,0.0193055446836813,0.016332671911138522,0.031189373820145434,0,0,5174,0,0.165880069911842,0.1728194554787005,0.1631462175631237,0.37573076315373677
reranker,frequencyScore,0.1,0.9,20,20,0.03774364871951299,0.17929247505646626,0.4988329617440638,0,0,5174,0,0.260282306134528,0.2726412108991572,0.2647557007614366,0.4736925264654764
